Hierarchical Name,Hierarchical Name,Coded Text
"Internals\\Chan, R. C., & Gottesman, I. I. (2008). Neurological soft signs as candidate endophenotypes for schizophrenia a shooting star or a Northern star",Nodes\\Year,Neurological soft signs as candidate endophenotypes for schizophrenia: A shooting star or a Northern star?
"Internals\\Chan, R. C., & Gottesman, I. I. (2008). Neurological soft signs as candidate endophenotypes for schizophrenia a shooting star or a Northern star",Nodes\\Year\2008,Neurological soft signs as candidate endophenotypes for schizophrenia: A shooting star or a Northern star?
"Internals\\Chang, J. Y., Shi, L. H., Luo, F., Zhang, W. M., & Woodward, D. J. (2007). Studies of the neural mechanisms of deep brain stimulation",Nodes\\animal studies,Animal models
"Internals\\Chang, J. Y., Shi, L. H., Luo, F., Zhang, W. M., & Woodward, D. J. (2007). Studies of the neural mechanisms of deep brain stimulation",Nodes\\animal studies\animal models,Animal models
"Internals\\Chang, J. Y., Shi, L. H., Luo, F., Zhang, W. M., & Woodward, D. J. (2007). Studies of the neural mechanisms of deep brain stimulation",Nodes\\Brain\brain structure\limbic structures\Basal ganglia,Basal ganglia
"Internals\\Chang, J. Y., Shi, L. H., Luo, F., Zhang, W. M., & Woodward, D. J. (2007). Studies of the neural mechanisms of deep brain stimulation",Nodes\\Brain\brain structure\Subthalamic nucleus,Subthalamic nucleus
"Internals\\Chang, J. Y., Shi, L. H., Luo, F., Zhang, W. M., & Woodward, D. J. (2007). Studies of the neural mechanisms of deep brain stimulation",Nodes\\Journal,Studies of the neural mechanisms of deep brain stimulation in rodent models of Parkinson’s disease
"Internals\\Chang, J. Y., Shi, L. H., Luo, F., Zhang, W. M., & Woodward, D. J. (2007). Studies of the neural mechanisms of deep brain stimulation",Nodes\\Journal\Neuroscience and Biobehavioral Reviews,Studies of the neural mechanisms of deep brain stimulation in rodent models of Parkinson’s disease
"Internals\\Chang, J. Y., Shi, L. H., Luo, F., Zhang, W. M., & Woodward, D. J. (2007). Studies of the neural mechanisms of deep brain stimulation",Nodes\\Number of Citations,Studies of the neural mechanisms of deep brain stimulation in rodent models of Parkinson’s disease
"Internals\\Chang, J. Y., Shi, L. H., Luo, F., Zhang, W. M., & Woodward, D. J. (2007). Studies of the neural mechanisms of deep brain stimulation",Nodes\\Number of Citations\51-60,Studies of the neural mechanisms of deep brain stimulation in rodent models of Parkinson’s disease
"Internals\\Chang, J. Y., Shi, L. H., Luo, F., Zhang, W. M., & Woodward, D. J. (2007). Studies of the neural mechanisms of deep brain stimulation",Nodes\\psychopathology,Parkinson’s disease
"Internals\\Chang, J. Y., Shi, L. H., Luo, F., Zhang, W. M., & Woodward, D. J. (2007). Studies of the neural mechanisms of deep brain stimulation",Nodes\\psychopathology\Psychopathology,Parkinson’s disease
"Internals\\Chang, J. Y., Shi, L. H., Luo, F., Zhang, W. M., & Woodward, D. J. (2007). Studies of the neural mechanisms of deep brain stimulation",Nodes\\psychopathology\Psychopathology\Parkinson’s disease,Parkinson’s disease
"Internals\\Chang, J. Y., Shi, L. H., Luo, F., Zhang, W. M., & Woodward, D. J. (2007). Studies of the neural mechanisms of deep brain stimulation",Nodes\\Year,Studies of the neural mechanisms of deep brain stimulation in rodent models of Parkinson’s disease
"Internals\\Chang, J. Y., Shi, L. H., Luo, F., Zhang, W. M., & Woodward, D. J. (2007). Studies of the neural mechanisms of deep brain stimulation",Nodes\\Year\2008,Studies of the neural mechanisms of deep brain stimulation in rodent models of Parkinson’s disease
"Internals\\Charness, M. E., Riley, E. P., & Sowell, E. R. (2016). Drinking during pregnancy and the developing brain is any amount safe",Nodes\\Abnormality\Addition and Substance Abuse\Alcohol,alcohol
"Internals\\Charness, M. E., Riley, E. P., & Sowell, E. R. (2016). Drinking during pregnancy and the developing brain is any amount safe",Nodes\\Journal,Drinking During Pregnancy and the Developing Brain: Is Any Amount Safe?
"Internals\\Charness, M. E., Riley, E. P., & Sowell, E. R. (2016). Drinking during pregnancy and the developing brain is any amount safe",Nodes\\Journal\Trends in Cognitive Science,Drinking During Pregnancy and the Developing Brain: Is Any Amount Safe?
"Internals\\Charness, M. E., Riley, E. P., & Sowell, E. R. (2016). Drinking during pregnancy and the developing brain is any amount safe",Nodes\\Number of Citations,Drinking During Pregnancy and the Developing Brain: Is Any Amount Safe?
"Internals\\Charness, M. E., Riley, E. P., & Sowell, E. R. (2016). Drinking during pregnancy and the developing brain is any amount safe",Nodes\\Number of Citations\11-20,Drinking During Pregnancy and the Developing Brain: Is Any Amount Safe?
"Internals\\Charness, M. E., Riley, E. P., & Sowell, E. R. (2016). Drinking during pregnancy and the developing brain is any amount safe",Nodes\\pregnancy,pregnancy
"Internals\\Charness, M. E., Riley, E. P., & Sowell, E. R. (2016). Drinking during pregnancy and the developing brain is any amount safe",Nodes\\Year,Drinking During Pregnancy and the Developing Brain: Is Any Amount Safe?
"Internals\\Charness, M. E., Riley, E. P., & Sowell, E. R. (2016). Drinking during pregnancy and the developing brain is any amount safe",Nodes\\Year\2016,Drinking During Pregnancy and the Developing Brain: Is Any Amount Safe?
"Internals\\Chen, B., & Hong, H. Y. (2016). Schools as knowledge-building organizations Thirty years of design research. Educational Psychologist,",Nodes\\Constructivism,constructivist learning
"Internals\\Chen, B., & Hong, H. Y. (2016). Schools as knowledge-building organizations Thirty years of design research. Educational Psychologist,",Nodes\\Constructivism\constructivist learning,constructivist learning
"Internals\\Chen, B., & Hong, H. Y. (2016). Schools as knowledge-building organizations Thirty years of design research. Educational Psychologist,",Nodes\\Journal,Schools as Knowledge-Building Organizations: Thirty Years of Design Research
"Internals\\Chen, B., & Hong, H. Y. (2016). Schools as knowledge-building organizations Thirty years of design research. Educational Psychologist,",Nodes\\Journal\Educational Psychologist,Schools as Knowledge-Building Organizations: Thirty Years of Design Research
"Internals\\Chen, B., & Hong, H. Y. (2016). Schools as knowledge-building organizations Thirty years of design research. Educational Psychologist,",Nodes\\knowledge application,Knowledge-Building
"Internals\\Chen, B., & Hong, H. Y. (2016). Schools as knowledge-building organizations Thirty years of design research. Educational Psychologist,",Nodes\\knowledge application\Knowledge-Building,Knowledge-Building
"Internals\\Chen, B., & Hong, H. Y. (2016). Schools as knowledge-building organizations Thirty years of design research. Educational Psychologist,",Nodes\\Number of Citations,Schools as Knowledge-Building Organizations: Thirty Years of Design Research
"Internals\\Chen, B., & Hong, H. Y. (2016). Schools as knowledge-building organizations Thirty years of design research. Educational Psychologist,",Nodes\\Number of Citations\11-20,Schools as Knowledge-Building Organizations: Thirty Years of Design Research
"Internals\\Chen, B., & Hong, H. Y. (2016). Schools as knowledge-building organizations Thirty years of design research. Educational Psychologist,",Nodes\\Year,Schools as Knowledge-Building Organizations: Thirty Years of Design Research
"Internals\\Chen, B., & Hong, H. Y. (2016). Schools as knowledge-building organizations Thirty years of design research. Educational Psychologist,",Nodes\\Year\2016,Schools as Knowledge-Building Organizations: Thirty Years of Design Research
"Internals\\Chen, J., Leong, Y. C., Honey, C. J., Yong, C. H., Norman, K. A., & Hasson, U. (2017). Shared memories reveal shared structure in neural activity across individuals.",Nodes\\abstraction\abstracted beyond sensory constraints,abstracted beyond sensory constraints
"Internals\\Chen, J., Leong, Y. C., Honey, C. J., Yong, C. H., Norman, K. A., & Hasson, U. (2017). Shared memories reveal shared structure in neural activity across individuals.",Nodes\\Journal,Shared memories reveal shared structure in neural activity across individuals
"Internals\\Chen, J., Leong, Y. C., Honey, C. J., Yong, C. H., Norman, K. A., & Hasson, U. (2017). Shared memories reveal shared structure in neural activity across individuals.",Nodes\\Journal\Nature Neuroscience,Shared memories reveal shared structure in neural activity across individuals
"Internals\\Chen, J., Leong, Y. C., Honey, C. J., Yong, C. H., Norman, K. A., & Hasson, U. (2017). Shared memories reveal shared structure in neural activity across individuals.",Nodes\\Memory,common spatial organization for memories
"Internals\\Chen, J., Leong, Y. C., Honey, C. J., Yong, C. H., Norman, K. A., & Hasson, U. (2017). Shared memories reveal shared structure in neural activity across individuals.",Nodes\\Memory,shared memory representations
"Internals\\Chen, J., Leong, Y. C., Honey, C. J., Yong, C. H., Norman, K. A., & Hasson, U. (2017). Shared memories reveal shared structure in neural activity across individuals.",Nodes\\Memory\common spatial organization for memories,common spatial organization for memories
"Internals\\Chen, J., Leong, Y. C., Honey, C. J., Yong, C. H., Norman, K. A., & Hasson, U. (2017). Shared memories reveal shared structure in neural activity across individuals.",Nodes\\Memory\shared memory representations,shared memory representations
"Internals\\Chen, J., Leong, Y. C., Honey, C. J., Yong, C. H., Norman, K. A., & Hasson, U. (2017). Shared memories reveal shared structure in neural activity across individuals.",Nodes\\Number of Citations,Shared memories reveal shared structure in neural activity across individuals
"Internals\\Chen, J., Leong, Y. C., Honey, C. J., Yong, C. H., Norman, K. A., & Hasson, U. (2017). Shared memories reveal shared structure in neural activity across individuals.",Nodes\\Number of Citations\31-40,Shared memories reveal shared structure in neural activity across individuals
"Internals\\Chen, J., Leong, Y. C., Honey, C. J., Yong, C. H., Norman, K. A., & Hasson, U. (2017). Shared memories reveal shared structure in neural activity across individuals.",Nodes\\systemic reform framework,systematic reshaping of percept into memory
"Internals\\Chen, J., Leong, Y. C., Honey, C. J., Yong, C. H., Norman, K. A., & Hasson, U. (2017). Shared memories reveal shared structure in neural activity across individuals.",Nodes\\systemic reform framework\systematic reshaping of percept into memory,systematic reshaping of percept into memory
"Internals\\Chen, J., Leong, Y. C., Honey, C. J., Yong, C. H., Norman, K. A., & Hasson, U. (2017). Shared memories reveal shared structure in neural activity across individuals.",Nodes\\Year,Shared memories reveal shared structure in neural activity across individuals
"Internals\\Chen, J., Leong, Y. C., Honey, C. J., Yong, C. H., Norman, K. A., & Hasson, U. (2017). Shared memories reveal shared structure in neural activity across individuals.",Nodes\\Year\2016,Shared memories reveal shared structure in neural activity across individuals
"Internals\\Chen, L., & Zhou, X. (2011). Visual apparent motion can be modulated by task-irrelevant lexical information",Nodes\\Journal,Visual apparent motion can be modulated by task-irrelevant lexical information
"Internals\\Chen, L., & Zhou, X. (2011). Visual apparent motion can be modulated by task-irrelevant lexical information","Nodes\\Journal\Attention, Perception, & Psychophysics",Visual apparent motion can be modulated by task-irrelevant lexical information
"Internals\\Chen, L., & Zhou, X. (2011). Visual apparent motion can be modulated by task-irrelevant lexical information",Nodes\\linguistics,Lexical representation
"Internals\\Chen, L., & Zhou, X. (2011). Visual apparent motion can be modulated by task-irrelevant lexical information",Nodes\\linguistics\lexical processing,Lexical representation
"Internals\\Chen, L., & Zhou, X. (2011). Visual apparent motion can be modulated by task-irrelevant lexical information",Nodes\\linguistics\lexical processing\Lexical representation,Lexical representation
"Internals\\Chen, L., & Zhou, X. (2011). Visual apparent motion can be modulated by task-irrelevant lexical information",Nodes\\Number of Citations,Visual apparent motion can be modulated by task-irrelevant lexical information
"Internals\\Chen, L., & Zhou, X. (2011). Visual apparent motion can be modulated by task-irrelevant lexical information",Nodes\\Number of Citations\1-10,Visual apparent motion can be modulated by task-irrelevant lexical information
"Internals\\Chen, L., & Zhou, X. (2011). Visual apparent motion can be modulated by task-irrelevant lexical information",Nodes\\Perceptual learning,Perceptual grouping
"Internals\\Chen, L., & Zhou, X. (2011). Visual apparent motion can be modulated by task-irrelevant lexical information",Nodes\\Perceptual learning\Perceptual grouping,Perceptual grouping
"Internals\\Chen, L., & Zhou, X. (2011). Visual apparent motion can be modulated by task-irrelevant lexical information",Nodes\\top-down processing,Top-down modulation
"Internals\\Chen, L., & Zhou, X. (2011). Visual apparent motion can be modulated by task-irrelevant lexical information",Nodes\\top-down processing\top-down modulation,Top-down modulation
"Internals\\Chen, L., & Zhou, X. (2011). Visual apparent motion can be modulated by task-irrelevant lexical information",Nodes\\Visual apparent motion,Visual apparent motion
"Internals\\Chen, L., & Zhou, X. (2011). Visual apparent motion can be modulated by task-irrelevant lexical information",Nodes\\Year,Visual apparent motion can be modulated by task-irrelevant lexical information
"Internals\\Chen, L., & Zhou, X. (2011). Visual apparent motion can be modulated by task-irrelevant lexical information",Nodes\\Year\2011,Visual apparent motion can be modulated by task-irrelevant lexical information
"Internals\\Chen, Q., & Verguts, T. (2010). Beyond the mental number line A neural network model of number–space interactions. Cognitive Psychology",Nodes\\computational modeling,Computational modeling
"Internals\\Chen, Q., & Verguts, T. (2010). Beyond the mental number line A neural network model of number–space interactions. Cognitive Psychology",Nodes\\emergence\emergent phenomena\emergent properties,emergent properties
"Internals\\Chen, Q., & Verguts, T. (2010). Beyond the mental number line A neural network model of number–space interactions. Cognitive Psychology",Nodes\\Journal,Beyond the mental number line: A neural network model of number–space interactions
"Internals\\Chen, Q., & Verguts, T. (2010). Beyond the mental number line A neural network model of number–space interactions. Cognitive Psychology",Nodes\\Journal\Cognitive Psychology,Beyond the mental number line: A neural network model of number–space interactions
"Internals\\Chen, Q., & Verguts, T. (2010). Beyond the mental number line A neural network model of number–space interactions. Cognitive Psychology",Nodes\\mental imagery,mental number line
"Internals\\Chen, Q., & Verguts, T. (2010). Beyond the mental number line A neural network model of number–space interactions. Cognitive Psychology",Nodes\\mental imagery\mental number line,mental number line
"Internals\\Chen, Q., & Verguts, T. (2010). Beyond the mental number line A neural network model of number–space interactions. Cognitive Psychology",Nodes\\Network science,neural network model
"Internals\\Chen, Q., & Verguts, T. (2010). Beyond the mental number line A neural network model of number–space interactions. Cognitive Psychology",Nodes\\Network science\neural network model,neural network model
"Internals\\Chen, Q., & Verguts, T. (2010). Beyond the mental number line A neural network model of number–space interactions. Cognitive Psychology",Nodes\\Number of Citations,Beyond the mental number line: A neural network model of number–space interactions
"Internals\\Chen, Q., & Verguts, T. (2010). Beyond the mental number line A neural network model of number–space interactions. Cognitive Psychology",Nodes\\Number of Citations\51-60,Beyond the mental number line: A neural network model of number–space interactions
"Internals\\Chen, Q., & Verguts, T. (2010). Beyond the mental number line A neural network model of number–space interactions. Cognitive Psychology",Nodes\\numerical cognition,number–space interactions
"Internals\\Chen, Q., & Verguts, T. (2010). Beyond the mental number line A neural network model of number–space interactions. Cognitive Psychology",Nodes\\numerical cognition,Numerical cognition
"Internals\\Chen, Q., & Verguts, T. (2010). Beyond the mental number line A neural network model of number–space interactions. Cognitive Psychology",Nodes\\numerical cognition\number–space interactions,number–space interactions
"Internals\\Chen, Q., & Verguts, T. (2010). Beyond the mental number line A neural network model of number–space interactions. Cognitive Psychology",Nodes\\spatial cognition,spatial and numerical representations
"Internals\\Chen, Q., & Verguts, T. (2010). Beyond the mental number line A neural network model of number–space interactions. Cognitive Psychology",Nodes\\spatial cognition\Spatial vocabulary,spatial and numerical representations
"Internals\\Chen, Q., & Verguts, T. (2010). Beyond the mental number line A neural network model of number–space interactions. Cognitive Psychology",Nodes\\spatial cognition\Spatial vocabulary\spatial and numerical representations,spatial and numerical representations
"Internals\\Chen, Q., & Verguts, T. (2010). Beyond the mental number line A neural network model of number–space interactions. Cognitive Psychology",Nodes\\Year,Beyond the mental number line: A neural network model of number–space interactions
"Internals\\Chen, Q., & Verguts, T. (2010). Beyond the mental number line A neural network model of number–space interactions. Cognitive Psychology",Nodes\\Year\2010,Beyond the mental number line: A neural network model of number–space interactions
"Internals\\Chi, M. T., & Brem, S. K. (2009). Contrasting Ohlsson's resubsumption theory with Chi's categorical shift theory. Educational Psychologist",Nodes\\Categorization,Categorical Shift Theory
"Internals\\Chi, M. T., & Brem, S. K. (2009). Contrasting Ohlsson's resubsumption theory with Chi's categorical shift theory. Educational Psychologist",Nodes\\Categorization\Categorical Shift Theory,Categorical Shift Theory
"Internals\\Chi, M. T., & Brem, S. K. (2009). Contrasting Ohlsson's resubsumption theory with Chi's categorical shift theory. Educational Psychologist",Nodes\\cognitive science,cognitive science
"Internals\\Chi, M. T., & Brem, S. K. (2009). Contrasting Ohlsson's resubsumption theory with Chi's categorical shift theory. Educational Psychologist",Nodes\\Development,developmental psychology
"Internals\\Chi, M. T., & Brem, S. K. (2009). Contrasting Ohlsson's resubsumption theory with Chi's categorical shift theory. Educational Psychologist",Nodes\\Development\developmental psychology,developmental psychology
"Internals\\Chi, M. T., & Brem, S. K. (2009). Contrasting Ohlsson's resubsumption theory with Chi's categorical shift theory. Educational Psychologist",Nodes\\Journal,Contrasting Ohlsson's Resubsumption Theory With Chi's Categorical Shift Theory
"Internals\\Chi, M. T., & Brem, S. K. (2009). Contrasting Ohlsson's resubsumption theory with Chi's categorical shift theory. Educational Psychologist",Nodes\\Journal\Educational Psychologist,Contrasting Ohlsson's Resubsumption Theory With Chi's Categorical Shift Theory
"Internals\\Chi, M. T., & Brem, S. K. (2009). Contrasting Ohlsson's resubsumption theory with Chi's categorical shift theory. Educational Psychologist",Nodes\\Number of Citations,Contrasting Ohlsson's Resubsumption Theory With Chi's Categorical Shift Theory
"Internals\\Chi, M. T., & Brem, S. K. (2009). Contrasting Ohlsson's resubsumption theory with Chi's categorical shift theory. Educational Psychologist",Nodes\\Number of Citations\11-20,Contrasting Ohlsson's Resubsumption Theory With Chi's Categorical Shift Theory
"Internals\\Chi, M. T., & Brem, S. K. (2009). Contrasting Ohlsson's resubsumption theory with Chi's categorical shift theory. Educational Psychologist",Nodes\\Resubsumption Theory,Resubsumption Theory
"Internals\\Chi, M. T., & Brem, S. K. (2009). Contrasting Ohlsson's resubsumption theory with Chi's categorical shift theory. Educational Psychologist",Nodes\\structure of knowledge,structure of learner’s knowledge
"Internals\\Chi, M. T., & Brem, S. K. (2009). Contrasting Ohlsson's resubsumption theory with Chi's categorical shift theory. Educational Psychologist",Nodes\\structure of knowledge\structure of learner’s knowledge,structure of learner’s knowledge
"Internals\\Chi, M. T., & Brem, S. K. (2009). Contrasting Ohlsson's resubsumption theory with Chi's categorical shift theory. Educational Psychologist",Nodes\\Year,Contrasting Ohlsson's Resubsumption Theory With Chi's Categorical Shift Theory
"Internals\\Chi, M. T., & Brem, S. K. (2009). Contrasting Ohlsson's resubsumption theory with Chi's categorical shift theory. Educational Psychologist",Nodes\\Year\2009,Contrasting Ohlsson's Resubsumption Theory With Chi's Categorical Shift Theory
"Internals\\Chi, M. T., & Wylie, R. (2014). The ICAP framework Linking cognitive engagement to active learning outcomes. Educational Psychologist",Nodes\\Academic Performance\academic achievement\Active Learning,Active Learning
"Internals\\Chi, M. T., & Wylie, R. (2014). The ICAP framework Linking cognitive engagement to active learning outcomes. Educational Psychologist",Nodes\\cognitive systems,Cognitive Engagement
"Internals\\Chi, M. T., & Wylie, R. (2014). The ICAP framework Linking cognitive engagement to active learning outcomes. Educational Psychologist",Nodes\\cognitive systems\Cognitive Engagement,Cognitive Engagement
"Internals\\Chi, M. T., & Wylie, R. (2014). The ICAP framework Linking cognitive engagement to active learning outcomes. Educational Psychologist",Nodes\\education,ICAP framework
"Internals\\Chi, M. T., & Wylie, R. (2014). The ICAP framework Linking cognitive engagement to active learning outcomes. Educational Psychologist",Nodes\\education\educational psychology,ICAP framework
"Internals\\Chi, M. T., & Wylie, R. (2014). The ICAP framework Linking cognitive engagement to active learning outcomes. Educational Psychologist",Nodes\\education\educational psychology\ICAP framework,ICAP framework
"Internals\\Chi, M. T., & Wylie, R. (2014). The ICAP framework Linking cognitive engagement to active learning outcomes. Educational Psychologist",Nodes\\engagement,engagement activities
"Internals\\Chi, M. T., & Wylie, R. (2014). The ICAP framework Linking cognitive engagement to active learning outcomes. Educational Psychologist",Nodes\\engagement\engagement activities,engagement activities
"Internals\\Chi, M. T., & Wylie, R. (2014). The ICAP framework Linking cognitive engagement to active learning outcomes. Educational Psychologist",Nodes\\Journal,The ICAP Framework: Linking Cognitive Engagement to Active Learning Outcomes
"Internals\\Chi, M. T., & Wylie, R. (2014). The ICAP framework Linking cognitive engagement to active learning outcomes. Educational Psychologist",Nodes\\Journal\Educational Psychologist,The ICAP Framework: Linking Cognitive Engagement to Active Learning Outcomes
"Internals\\Chi, M. T., & Wylie, R. (2014). The ICAP framework Linking cognitive engagement to active learning outcomes. Educational Psychologist",Nodes\\learning,learning materials
"Internals\\Chi, M. T., & Wylie, R. (2014). The ICAP framework Linking cognitive engagement to active learning outcomes. Educational Psychologist",Nodes\\learning,theories of learning
"Internals\\Chi, M. T., & Wylie, R. (2014). The ICAP framework Linking cognitive engagement to active learning outcomes. Educational Psychologist",Nodes\\learning\learning materials,learning materials
"Internals\\Chi, M. T., & Wylie, R. (2014). The ICAP framework Linking cognitive engagement to active learning outcomes. Educational Psychologist",Nodes\\learning\theories of learning,theories of learning
"Internals\\Chi, M. T., & Wylie, R. (2014). The ICAP framework Linking cognitive engagement to active learning outcomes. Educational Psychologist",Nodes\\Number of Citations,The ICAP Framework: Linking Cognitive Engagement to Active Learning Outcomes
"Internals\\Chi, M. T., & Wylie, R. (2014). The ICAP framework Linking cognitive engagement to active learning outcomes. Educational Psychologist",Nodes\\Number of Citations\251-260,The ICAP Framework: Linking Cognitive Engagement to Active Learning Outcomes
"Internals\\Chi, M. T., & Wylie, R. (2014). The ICAP framework Linking cognitive engagement to active learning outcomes. Educational Psychologist",Nodes\\Year,The ICAP Framework: Linking Cognitive Engagement to Active Learning Outcomes
"Internals\\Chi, M. T., & Wylie, R. (2014). The ICAP framework Linking cognitive engagement to active learning outcomes. Educational Psychologist",Nodes\\Year\2014,The ICAP Framework: Linking Cognitive Engagement to Active Learning Outcomes
"Internals\\Chialvo, D.R. (2008). Emergent Complexity what uphill analysis or downhill invention cannot do. New Ideas in Psychology",Nodes\\complex systems,complex networks
"Internals\\Chialvo, D.R. (2008). Emergent Complexity what uphill analysis or downhill invention cannot do. New Ideas in Psychology",Nodes\\complex systems\complex networks,complex networks
"Internals\\Chialvo, D.R. (2008). Emergent Complexity what uphill analysis or downhill invention cannot do. New Ideas in Psychology",Nodes\\Dynamic systems theory,dynamical systems
"Internals\\Chialvo, D.R. (2008). Emergent Complexity what uphill analysis or downhill invention cannot do. New Ideas in Psychology",Nodes\\Dynamic systems theory\dynamical systems,dynamical systems
"Internals\\Chialvo, D.R. (2008). Emergent Complexity what uphill analysis or downhill invention cannot do. New Ideas in Psychology",Nodes\\emergence,emergent phenomena
"Internals\\Chialvo, D.R. (2008). Emergent Complexity what uphill analysis or downhill invention cannot do. New Ideas in Psychology",Nodes\\emergence\emergent phenomena,emergent phenomena
"Internals\\Chialvo, D.R. (2008). Emergent Complexity what uphill analysis or downhill invention cannot do. New Ideas in Psychology",Nodes\\Journal,Emergent complexity: what uphill analysis or downhill invention can not do ⋆
"Internals\\Chialvo, D.R. (2008). Emergent Complexity what uphill analysis or downhill invention cannot do. New Ideas in Psychology",Nodes\\Journal\New Ideas in Psychology,Emergent complexity: what uphill analysis or downhill invention can not do ⋆
"Internals\\Chialvo, D.R. (2008). Emergent Complexity what uphill analysis or downhill invention cannot do. New Ideas in Psychology",Nodes\\Number of Citations,Emergent complexity: what uphill analysis or downhill invention can not do ⋆
"Internals\\Chialvo, D.R. (2008). Emergent Complexity what uphill analysis or downhill invention cannot do. New Ideas in Psychology",Nodes\\Number of Citations\31-40,Emergent complexity: what uphill analysis or downhill invention can not do ⋆
"Internals\\Chialvo, D.R. (2008). Emergent Complexity what uphill analysis or downhill invention cannot do. New Ideas in Psychology",Nodes\\Self-related\self-organizing complex systems,self-organization.
"Internals\\Chialvo, D.R. (2008). Emergent Complexity what uphill analysis or downhill invention cannot do. New Ideas in Psychology",Nodes\\Self-related\self-organizing complex systems\self-organization.,self-organization.
"Internals\\Chialvo, D.R. (2008). Emergent Complexity what uphill analysis or downhill invention cannot do. New Ideas in Psychology",Nodes\\Year,Emergent complexity: what uphill analysis or downhill invention can not do ⋆
"Internals\\Chialvo, D.R. (2008). Emergent Complexity what uphill analysis or downhill invention cannot do. New Ideas in Psychology",Nodes\\Year\2008,Emergent complexity: what uphill analysis or downhill invention can not do ⋆
"Internals\\Chinn, C. A., Buckland, L. A., & Samarapungavan, A. L. A. (2011). Expanding the dimensions of epistemic cognition Arguments from philosophy and psychology. Educational Psychologist",Nodes\\Epistemic Cognition,Epistemic Cognition
"Internals\\Chinn, C. A., Buckland, L. A., & Samarapungavan, A. L. A. (2011). Expanding the dimensions of epistemic cognition Arguments from philosophy and psychology. Educational Psychologist",Nodes\\Epistemic Cognition,epistemic value
"Internals\\Chinn, C. A., Buckland, L. A., & Samarapungavan, A. L. A. (2011). Expanding the dimensions of epistemic cognition Arguments from philosophy and psychology. Educational Psychologist",Nodes\\Epistemic Cognition\epistemic value,epistemic value
"Internals\\Chinn, C. A., Buckland, L. A., & Samarapungavan, A. L. A. (2011). Expanding the dimensions of epistemic cognition Arguments from philosophy and psychology. Educational Psychologist",Nodes\\Journal,Expanding the Dimensions of Epistemic Cognition: Arguments From Philosophy and Psychology
"Internals\\Chinn, C. A., Buckland, L. A., & Samarapungavan, A. L. A. (2011). Expanding the dimensions of epistemic cognition Arguments from philosophy and psychology. Educational Psychologist",Nodes\\Journal\Educational Psychologist,Expanding the Dimensions of Epistemic Cognition: Arguments From Philosophy and Psychology
"Internals\\Chinn, C. A., Buckland, L. A., & Samarapungavan, A. L. A. (2011). Expanding the dimensions of epistemic cognition Arguments from philosophy and psychology. Educational Psychologist",Nodes\\Number of Citations,Expanding the Dimensions of Epistemic Cognition: Arguments From Philosophy and Psychology
"Internals\\Chinn, C. A., Buckland, L. A., & Samarapungavan, A. L. A. (2011). Expanding the dimensions of epistemic cognition Arguments from philosophy and psychology. Educational Psychologist",Nodes\\Number of Citations\261-270,Expanding the Dimensions of Epistemic Cognition: Arguments From Philosophy and Psychology
"Internals\\Chinn, C. A., Buckland, L. A., & Samarapungavan, A. L. A. (2011). Expanding the dimensions of epistemic cognition Arguments from philosophy and psychology. Educational Psychologist",Nodes\\Philosophical psychology,philosophically grounded framework
"Internals\\Chinn, C. A., Buckland, L. A., & Samarapungavan, A. L. A. (2011). Expanding the dimensions of epistemic cognition Arguments from philosophy and psychology. Educational Psychologist",Nodes\\Philosophical psychology\philosophically grounded framework,philosophically grounded framework
"Internals\\Chinn, C. A., Buckland, L. A., & Samarapungavan, A. L. A. (2011). Expanding the dimensions of epistemic cognition Arguments from philosophy and psychology. Educational Psychologist",Nodes\\structure of knowledge,structure of knowledge
"Internals\\Chinn, C. A., Buckland, L. A., & Samarapungavan, A. L. A. (2011). Expanding the dimensions of epistemic cognition Arguments from philosophy and psychology. Educational Psychologist",Nodes\\Year,Expanding the Dimensions of Epistemic Cognition: Arguments From Philosophy and Psychology
"Internals\\Chinn, C. A., Buckland, L. A., & Samarapungavan, A. L. A. (2011). Expanding the dimensions of epistemic cognition Arguments from philosophy and psychology. Educational Psychologist",Nodes\\Year\2011,Expanding the Dimensions of Epistemic Cognition: Arguments From Philosophy and Psychology
"Internals\\Chow, J. Y., Davids, K., Hristovski, R., Araújo, D., & Passos, P. (2011). Nonlinear pedagogy Learning design for self-organizing neurobiological systems. New Ideas in Psychology",Nodes\\Journal,Nonlinear pedagogy: Learning design for self-organizing neurobiological systems
"Internals\\Chow, J. Y., Davids, K., Hristovski, R., Araújo, D., & Passos, P. (2011). Nonlinear pedagogy Learning design for self-organizing neurobiological systems. New Ideas in Psychology",Nodes\\Journal\New Ideas in Psychology,Nonlinear pedagogy: Learning design for self-organizing neurobiological systems
"Internals\\Chow, J. Y., Davids, K., Hristovski, R., Araújo, D., & Passos, P. (2011). Nonlinear pedagogy Learning design for self-organizing neurobiological systems. New Ideas in Psychology",Nodes\\neuroscience,neurobiological systems
"Internals\\Chow, J. Y., Davids, K., Hristovski, R., Araújo, D., & Passos, P. (2011). Nonlinear pedagogy Learning design for self-organizing neurobiological systems. New Ideas in Psychology",Nodes\\neuroscience\neurobiological systems,neurobiological systems
"Internals\\Chow, J. Y., Davids, K., Hristovski, R., Araújo, D., & Passos, P. (2011). Nonlinear pedagogy Learning design for self-organizing neurobiological systems. New Ideas in Psychology",Nodes\\Number of Citations,Nonlinear pedagogy: Learning design for self-organizing neurobiological systems
